Req(id=0, init_node=9, out_node=1, max_Lat=746, min_T=14.4, func=Function(name_func='Deep Packet Inspection', name_imp='DPI2', clb=19007, bram=36, dsp=0), price=373)
Req(id=2, init_node=5, out_node=25, max_Lat=679, min_T=40, func=Function(name_func='Deep Packet Inspection', name_imp='DPI4', clb=1391, bram=96, dsp=0), price=49)
Req(id=3, init_node=11, out_node=7, max_Lat=422, min_T=40, func=Function(name_func='Deep Packet Inspection', name_imp='DPI4', clb=1391, bram=96, dsp=0), price=47)
Req(id=6, init_node=5, out_node=20, max_Lat=119, min_T=14.4, func=Function(name_func='Deep Packet Inspection', name_imp='DPI2', clb=19007, bram=36, dsp=0), price=421)
Req(id=7, init_node=2, out_node=30, max_Lat=123, min_T=92.16, func=Function(name_func='Firewall', name_imp='FW2', clb=12691, bram=241, dsp=0), price=293)
Req(id=8, init_node=3, out_node=9, max_Lat=534, min_T=0.8, func=Function(name_func='Deep Packet Inspection', name_imp='DPI0', clb=10471, bram=37, dsp=0), price=232)
Req(id=10, init_node=1, out_node=22, max_Lat=856, min_T=14.4, func=Function(name_func='Deep Packet Inspection', name_imp='DPI2', clb=19007, bram=36, dsp=0), price=394)
Req(id=13, init_node=29, out_node=13, max_Lat=851, min_T=40, func=Function(name_func='Deep Packet Inspection', name_imp='DPI4', clb=1391, bram=96, dsp=0), price=48)
Req(id=15, init_node=8, out_node=16, max_Lat=1300, min_T=40, func=Function(name_func='Deep Packet Inspection', name_imp='DPI4', clb=1391, bram=96, dsp=0), price=44)
Req(id=16, init_node=16, out_node=13, max_Lat=257, min_T=40, func=Function(name_func='Deep Packet Inspection', name_imp='DPI4', clb=1391, bram=96, dsp=0), price=45)
Req(id=17, init_node=28, out_node=13, max_Lat=685, min_T=40, func=Function(name_func='Deep Packet Inspection', name_imp='DPI4', clb=1391, bram=96, dsp=0), price=49)
Req(id=18, init_node=21, out_node=33, max_Lat=937, min_T=40, func=Function(name_func='Deep Packet Inspection', name_imp='DPI4', clb=1391, bram=96, dsp=0), price=49)
Req(id=19, init_node=38, out_node=12, max_Lat=830, min_T=102.6, func=Function(name_func='Deep Packet Inspection', name_imp='DPI5', clb=7560, bram=399, dsp=0), price=230)
Req(id=20, init_node=20, out_node=35, max_Lat=269, min_T=40, func=Function(name_func='Deep Packet Inspection', name_imp='DPI4', clb=1391, bram=96, dsp=0), price=47)
Req(id=21, init_node=28, out_node=35, max_Lat=460, min_T=14.4, func=Function(name_func='Deep Packet Inspection', name_imp='DPI2', clb=19007, bram=36, dsp=0), price=373)
Req(id=22, init_node=19, out_node=11, max_Lat=798, min_T=92.16, func=Function(name_func='Firewall', name_imp='FW2', clb=12691, bram=241, dsp=0), price=305)
Req(id=23, init_node=39, out_node=5, max_Lat=683, min_T=40, func=Function(name_func='Deep Packet Inspection', name_imp='DPI4', clb=1391, bram=96, dsp=0), price=48)
Req(id=25, init_node=28, out_node=19, max_Lat=881, min_T=14.4, func=Function(name_func='Deep Packet Inspection', name_imp='DPI2', clb=19007, bram=36, dsp=0), price=392)
Req(id=27, init_node=30, out_node=6, max_Lat=599, min_T=92.16, func=Function(name_func='Firewall', name_imp='FW2', clb=12691, bram=241, dsp=0), price=313)
Req(id=28, init_node=31, out_node=8, max_Lat=633, min_T=0.8, func=Function(name_func='Deep Packet Inspection', name_imp='DPI0', clb=10471, bram=37, dsp=0), price=222)
Req(id=30, init_node=19, out_node=0, max_Lat=960, min_T=0.8, func=Function(name_func='Deep Packet Inspection', name_imp='DPI0', clb=10471, bram=37, dsp=0), price=206)
Req(id=31, init_node=29, out_node=38, max_Lat=592, min_T=14.4, func=Function(name_func='Deep Packet Inspection', name_imp='DPI2', clb=19007, bram=36, dsp=0), price=393)
Req(id=32, init_node=22, out_node=14, max_Lat=767, min_T=14.4, func=Function(name_func='Deep Packet Inspection', name_imp='DPI2', clb=19007, bram=36, dsp=0), price=425)
Req(id=33, init_node=14, out_node=22, max_Lat=790, min_T=40, func=Function(name_func='Deep Packet Inspection', name_imp='DPI4', clb=1391, bram=96, dsp=0), price=43)
Req(id=35, init_node=15, out_node=22, max_Lat=1098, min_T=40, func=Function(name_func='Deep Packet Inspection', name_imp='DPI4', clb=1391, bram=96, dsp=0), price=50)
Req(id=36, init_node=37, out_node=25, max_Lat=795, min_T=14.4, func=Function(name_func='Deep Packet Inspection', name_imp='DPI2', clb=19007, bram=36, dsp=0), price=422)
Req(id=38, init_node=39, out_node=30, max_Lat=858, min_T=14.4, func=Function(name_func='Deep Packet Inspection', name_imp='DPI2', clb=19007, bram=36, dsp=0), price=394)
Req(id=39, init_node=19, out_node=3, max_Lat=754, min_T=49.38, func=Function(name_func='Advanced Encryption Standard', name_imp='AES0', clb=3165, bram=1, dsp=0), price=57)
Req(id=43, init_node=38, out_node=21, max_Lat=568, min_T=119.3, func=Function(name_func='Advanced Encryption Standard', name_imp='AES4', clb=11951, bram=450, dsp=0), price=353)
Req(id=44, init_node=10, out_node=25, max_Lat=583, min_T=49.38, func=Function(name_func='Advanced Encryption Standard', name_imp='AES0', clb=3165, bram=1, dsp=0), price=58)
Req(id=45, init_node=24, out_node=14, max_Lat=930, min_T=40, func=Function(name_func='Deep Packet Inspection', name_imp='DPI4', clb=1391, bram=96, dsp=0), price=49)
Req(id=46, init_node=5, out_node=25, max_Lat=679, min_T=49.38, func=Function(name_func='Advanced Encryption Standard', name_imp='AES0', clb=3165, bram=1, dsp=0), price=58)
Req(id=47, init_node=3, out_node=16, max_Lat=1099, min_T=0.8, func=Function(name_func='Deep Packet Inspection', name_imp='DPI0', clb=10471, bram=37, dsp=0), price=230)
Req(id=50, init_node=33, out_node=27, max_Lat=874, min_T=40, func=Function(name_func='Deep Packet Inspection', name_imp='DPI4', clb=1391, bram=96, dsp=0), price=50)
Req(id=54, init_node=0, out_node=21, max_Lat=318, min_T=92.16, func=Function(name_func='Firewall', name_imp='FW2', clb=12691, bram=241, dsp=0), price=283)
Req(id=55, init_node=13, out_node=24, max_Lat=542, min_T=92.16, func=Function(name_func='Firewall', name_imp='FW2', clb=12691, bram=241, dsp=0), price=309)
Req(id=56, init_node=37, out_node=12, max_Lat=1014, min_T=14.4, func=Function(name_func='Deep Packet Inspection', name_imp='DPI2', clb=19007, bram=36, dsp=0), price=393)
